ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
601668.SH,20180713,5.13,5.08,5.19,4.98,5.07,0.06,1.1834,3083978.77,1579720.437
601668.SH,20180706,5.07,5.43,5.43,4.93,5.46,-0.39,-7.1429,4972445.2,2535693.046
601668.SH,20180629,5.46,8.2,8.22,5.37,8.12,-2.66,-32.7586,3422611.92,2562965.673
601668.SH,20180622,8.12,8.2,8.42,8.05,8.27,-0.15,-1.8138,5357112.0,4431598.321
601668.SH,20180615,8.27,8.09,8.37,8.06,8.13,0.14,1.722,2897496.27,2370036.245
601668.SH,20180608,8.13,8.19,8.35,8.11,8.18,-0.05,-0.6112,2779932.35,2294211.062
601668.SH,20180601,8.18,8.29,8.36,8.12,8.31,-0.13,-1.5644,2701234.64,2222972.178
601668.SH,20180525,8.31,8.53,8.56,8.18,8.49,-0.18,-2.1201,2455764.62,2060736.161
601668.SH,20180518,8.49,8.56,8.59,8.38,8.53,-0.04,-0.4689,2575589.77,2182913.453
601668.SH,20180511,8.53,8.31,8.61,8.25,8.28,0.25,3.0193,3312708.2,2803869.047
601668.SH,20180504,8.28,8.48,8.55,8.23,8.39,-0.11,-1.3111,2361393.02,1972590.518
601668.SH,20180427,8.39,8.15,8.45,8.13,8.19,0.2,2.442,3274567.17,2725608.365
601668.SH,20180420,8.19,8.56,8.6,8.02,8.57,-0.38,-4.4341,4722887.54,3900567.336
601668.SH,20180413,8.57,8.5,8.78,8.45,8.51,0.06,0.7051,3896496.22,3357705.049
601668.SH,20180406,8.51,8.67,8.74,8.5,8.66,-0.15,-1.7321,2056229.0,1771846.14
601668.SH,20180330,8.66,8.82,8.84,8.59,8.88,-0.22,-2.4775,4631498.19,4033502.256
601668.SH,20180323,8.88,8.86,8.98,8.61,8.86,0.02,0.2257,6647256.54,5869612.63
601668.SH,20180316,8.86,9.06,9.08,8.84,9.02,-0.16,-1.7738,5121528.76,4579497.689
601668.SH,20180309,9.02,9.0,9.16,8.97,9.01,0.01,0.111,5224370.96,4724723.205
601668.SH,20180302,9.01,9.4,9.4,8.96,9.32,-0.31,-3.3262,6971824.52,6391292.316
601668.SH,20180223,9.32,9.13,9.36,9.03,8.98,0.34,3.7862,3707441.48,3415180.391
601668.SH,20180216,8.98,8.88,9.12,8.74,8.85,0.13,1.4689,5160155.4,4622068.104
601668.SH,20180209,8.85,9.98,10.44,8.51,10.13,-1.28,-12.6357,24327058.71,23773908.55
601668.SH,20180202,10.13,10.68,10.79,9.81,10.67,-0.54,-5.0609,18694260.9,19164753.77
601668.SH,20180126,10.67,10.31,10.85,10.23,10.35,0.32,3.0918,26528688.95,27764956.719
601668.SH,20180119,10.35,9.49,10.53,9.38,9.49,0.86,9.0622,30695858.04,30550377.331
601668.SH,20180112,9.49,9.47,9.75,9.41,9.49,0.0,0.0,11528699.52,11033973.256
601668.SH,20180105,9.49,9.01,9.65,9.0,9.02,0.47,5.2106,7482086.77,6997312.091
601668.SH,20171229,9.02,9.35,9.46,8.88,9.35,-0.33,-3.5294,6895332.25,6300504.058
601668.SH,20171222,9.35,9.3,9.42,9.27,9.3,0.05,0.5376,3451808.88,3229320.272
601668.SH,20171215,9.3,9.52,9.56,9.28,9.54,-0.24,-2.5157,4967305.43,4672094.549
601668.SH,20171208,9.54,9.59,9.81,9.48,9.64,-0.1,-1.0373,8967534.49,8657369.379
601668.SH,20171201,9.64,9.6,9.83,9.44,9.63,0.01,0.1038,9955130.58,9567868.258
601668.SH,20171124,9.63,9.42,10.09,9.31,9.48,0.15,1.5823,18715376.54,18255523.335
601668.SH,20171117,9.48,9.4,9.52,9.23,9.45,0.03,0.3175,10008651.0,9364329.218
601668.SH,20171110,9.45,9.72,9.86,9.43,9.79,-0.34,-3.4729,11336544.8,10913609.45
601668.SH,20171103,9.79,9.65,9.96,9.37,9.67,0.12,1.241,14365137.0,13953329.955
601668.SH,20171027,9.67,9.34,9.78,9.22,9.35,0.32,3.4225,9286783.42,8832556.721
601668.SH,20171020,9.35,9.4,9.55,9.28,9.39,-0.04,-0.426,5522163.82,5195115.413
601668.SH,20171013,9.39,9.41,9.56,9.36,9.28,0.11,1.1853,4824518.37,4562797.152
601668.SH,20170929,9.28,9.6,9.62,9.26,9.62,-0.34,-3.5343,6346108.1,5979449.355
601668.SH,20170922,9.62,9.94,10.06,9.61,9.87,-0.25,-2.5329,8158126.65,8009698.132
601668.SH,20170915,9.87,9.7,10.02,9.66,9.68,0.19,1.9628,9460632.51,9272480.829
601668.SH,20170908,9.68,9.76,10.02,9.66,9.8,-0.12,-1.2245,10440099.77,10255839.06
601668.SH,20170901,9.8,10.28,10.45,9.7,10.28,-0.48,-4.6693,15350820.66,15481354.03
601668.SH,20170825,10.28,10.01,10.35,9.92,9.94,0.34,3.4205,9807927.85,9879099.814
601668.SH,20170818,9.94,9.84,10.06,9.75,9.78,0.16,1.636,7368181.16,7320219.666
601668.SH,20170811,9.78,9.94,10.12,9.74,9.98,-0.2,-2.004,7914925.27,7891356.472
601668.SH,20170804,9.98,10.27,10.54,9.96,10.28,-0.3,-2.9183,11365096.85,11614033.537
601668.SH,20170728,10.28,10.71,10.96,10.03,10.7,-0.42,-3.9252,12905456.1,13451471.176
601668.SH,20170721,10.7,10.11,10.91,9.84,10.15,0.55,5.4187,20115876.93,20891421.276
601668.SH,20170714,10.15,9.39,10.31,9.35,9.4,0.75,7.9787,17061083.44,16944112.26
601668.SH,20170707,9.4,9.68,9.71,9.35,9.68,-0.28,-2.8926,5796769.04,5488332.881
601668.SH,20170630,9.68,9.64,9.87,9.6,9.61,0.07,0.7284,7204290.23,7004525.315
601668.SH,20170623,9.61,9.23,9.64,9.2,9.2,0.41,4.4565,8513037.48,8014802.111
601668.SH,20170616,9.2,9.82,9.97,9.19,9.86,-0.66,-6.6937,8103525.72,7830082.093
601668.SH,20170609,9.86,9.52,10.02,9.48,9.57,0.29,3.0303,9290752.47,9024020.684
601668.SH,20170602,9.57,9.41,9.68,9.34,9.33,0.24,2.5723,6270933.44,5970949.817
601668.SH,20170526,9.33,9.05,9.4,8.78,9.09,0.24,2.6403,11418264.13,10357948.545
601668.SH,20170519,9.09,9.45,9.48,9.06,9.4,-0.31,-3.2979,9216062.89,8474601.915
601668.SH,20170512,9.4,9.23,9.45,8.98,9.32,0.08,0.8584,14629394.36,13601021.462
601668.SH,20170505,9.32,9.31,9.46,9.02,9.36,-0.04,-0.4274,10925464.95,10148262.533
601668.SH,20170428,9.36,10.13,10.13,9.04,10.22,-0.86,-8.4149,17254298.62,16476825.943
601668.SH,20170421,10.22,9.86,10.4,9.73,9.91,0.31,3.1282,18029315.45,18101060.264
601668.SH,20170414,9.91,9.92,10.65,9.82,9.93,-0.02,-0.2014,23259643.66,23597933.403
601668.SH,20170407,9.93,9.68,10.27,9.42,9.2,0.73,7.9348,21152240.99,20710623.261
601668.SH,20170331,9.2,9.45,9.68,9.07,9.55,-0.35,-3.6649,21978795.88,20742973.507
601668.SH,20170324,9.55,8.86,9.77,8.8,8.77,0.78,8.894,21445916.48,19613994.856
601668.SH,20170317,8.77,8.6,8.91,8.53,8.62,0.15,1.7401,9192175.56,8046958.588
601668.SH,20170310,8.62,8.67,8.94,8.57,8.68,-0.06,-0.6912,9980436.36,8717319.362
601668.SH,20170303,8.68,9.01,9.02,8.55,9.03,-0.35,-3.876,9228496.3,8118530.695
601668.SH,20170224,9.03,8.88,9.11,8.86,8.89,0.14,1.5748,10184769.66,9176087.505
601668.SH,20170217,8.89,9.16,9.28,8.88,9.18,-0.29,-3.159,13718422.93,12491397.496
601668.SH,20170210,9.18,8.83,9.31,8.72,8.84,0.34,3.8462,16451885.81,14768465.651
601668.SH,20170203,8.84,8.91,8.93,8.8,8.94,-0.1,-1.1186,1136364.22,1006476.671
601668.SH,20170127,8.94,8.7,9.07,8.7,8.72,0.22,2.5229,7694891.19,6850904.342
601668.SH,20170120,8.72,8.5,8.84,8.33,8.54,0.18,2.1077,9893853.16,8531463.15
601668.SH,20170113,8.54,8.88,9.03,8.39,8.88,-0.34,-3.8288,12446565.48,10886374.789
601668.SH,20170106,8.88,8.83,9.04,8.75,8.86,0.02,0.2257,8887120.7,7914363.562
601668.SH,20161230,8.86,8.8,9.43,8.73,8.92,-0.06,-0.6726,24065100.13,21825778.671
601668.SH,20161223,8.92,8.82,9.14,8.59,8.85,0.07,0.791,21867805.42,19310526.089
601668.SH,20161216,8.85,9.82,9.89,8.66,10.11,-1.26,-12.4629,32954482.78,30260619.234
601668.SH,20161209,10.11,9.95,10.22,9.15,10.38,-0.27,-2.6012,46975787.58,45068247.875
601668.SH,20161202,10.38,9.8,11.45,9.65,9.39,0.99,10.5431,58588679.29,62672003.868
601668.SH,20161125,9.39,8.25,9.45,8.2,8.2,1.19,14.5122,51671750.37,45875561.24
601668.SH,20161118,8.2,8.08,8.67,7.73,8.07,0.13,1.6109,20461523.33,16541123.421
601668.SH,20161111,8.07,8.0,8.3,7.78,8.04,0.03,0.3731,27918480.34,22544625.214
601668.SH,20161104,8.04,7.24,8.23,7.0,7.23,0.81,11.2033,23600684.81,17857058.205
601668.SH,20161028,7.23,7.37,8.0,7.2,7.38,-0.15,-2.0325,21301767.22,15979261.176
601668.SH,20161021,7.38,6.48,7.44,6.46,6.51,0.87,13.3641,16581210.41,11431528.36
